E1 [GeV],E2 [GeV],E1+(E2-E1)/2,s [GeV^2],sigma [nb],err. sigma [nb] bare,alphaRatio,alphaRatioL,alphaRatioH
0.7600,0.7620,0.7610,0.5791,1320.90855,13.86240,1.00714,1.00696,1.00732
0.7620,0.7640,0.7630,0.5822,1327.30978,13.32240,1.00722,1.00702,1.00741
0.7640,0.7660,0.7650,0.5852,1318.28028,13.73320,1.00725,1.00704,1.00746
0.7660,0.7680,0.7670,0.5883,1312.43458,12.97890,1.00708,1.00684,1.00731
0.7680,0.7700,0.7690,0.5914,1320.66649,14.59730,1.00683,1.00657,1.00710
0.7700,0.7720,0.7710,0.5944,1312.79290,14.48170,1.00642,1.00612,1.00671
0.7720,0.7740,0.7730,0.5975,1325.46269,14.47270,1.00586,1.00553,1.00619
0.7740,0.7760,0.7750,0.6006,1331.85956,14.71000,1.00518,1.00480,1.00555
0.7760,0.7780,0.7770,0.6037,1333.77284,14.80830,1.00497,1.00458,1.00536
0.7780,0.7800,0.7790,0.6068,1311.42161,12.97130,1.00669,1.00626,1.00713
0.7800,0.7820,0.7810,0.6100,1194.69516,13.50100,1.01363,1.01333,1.01393
0.7820,0.7840,0.7830,0.6131,985.96549,11.44790,1.02695,1.02683,1.02707
0.7840,0.7860,0.7850,0.6162,866.01369,10.15920,1.03675,1.03634,1.03717
0.7860,0.7880,0.7870,0.6194,831.70839,10.02970,1.03801,1.03751,1.03850
0.7880,0.7900,0.7890,0.6225,831.51149,9.75744,1.03627,1.03582,1.03673
0.7900,0.7920,0.7910,0.6257,822.41925,8.80198,1.03406,1.03366,1.03445
0.7920,0.7940,0.7930,0.6288,822.36304,8.95940,1.03229,1.03195,1.03264
0.7940,0.7960,0.7950,0.6320,829.93273,10.16550,1.03080,1.03049,1.03110
0.7960,0.7980,0.7970,0.6352,814.40854,9.85160,1.02975,1.02947,1.03002
0.7980,0.8000,0.7990,0.6384,786.56209,8.90542,1.02894,1.02871,1.02917
0.8000,0.8020,0.8010,0.6416,775.41240,8.71936,1.02819,1.02799,1.02839
0.8020,0.8040,0.8030,0.6448,761.92643,9.46256,1.02771,1.02750,1.02791
0.8040,0.8060,0.8050,0.6480,747.17166,8.48462,1.02744,1.02725,1.02764
0.8060,0.8080,0.8070,0.6512,721.76871,7.90131,1.02709,1.02691,1.02728
0.8080,0.8100,0.8090,0.6545,700.67011,8.51080,1.02678,1.02661,1.02696
0.8100,0.8120,0.8110,0.6577,677.10461,8.68613,1.02657,1.02641,1.02673
0.8120,0.8140,0.8130,0.6610,657.36134,8.32101,1.02643,1.02628,1.02658
0.8140,0.8160,0.8150,0.6642,651.41218,8.35477,1.02627,1.02614,1.02641
0.8160,0.8180,0.8170,0.6675,624.08161,8.29506,1.02609,1.02596,1.02623
0.8180,0.8200,0.8190,0.6708,599.22512,7.26060,1.02600,1.02587,1.02612
0.8200,0.8220,0.8210,0.6740,594.32590,7.00189,1.02590,1.02578,1.02602
0.8220,0.8240,0.8230,0.6773,580.22643,7.80643,1.02579,1.02568,1.02591
0.8240,0.8260,0.8250,0.6806,547.80980,7.62455,1.02568,1.02557,1.02579
0.8260,0.8280,0.8270,0.6839,544.83855,7.34869,1.02555,1.02544,1.02566
0.8280,0.8300,0.8290,0.6872,529.45952,6.88818,1.02544,1.02533,1.02554
0.8300,0.8320,0.8310,0.6906,506.54346,7.08034,1.02532,1.02522,1.02542
0.8320,0.8340,0.8330,0.6939,492.97555,6.91965,1.02521,1.02511,1.02531
0.8340,0.8360,0.8350,0.6972,476.86166,6.69314,1.02510,1.02500,1.02519
0.8360,0.8380,0.8370,0.7006,465.24795,6.80354,1.02498,1.02489,1.02508
0.8380,0.8400,0.8390,0.7039,451.14392,5.84514,1.02487,1.02478,1.02496
0.8400,0.8420,0.8410,0.7073,435.73773,6.29826,1.02475,1.02466,1.02484
0.8420,0.8440,0.8430,0.7106,420.26603,6.34874,1.02464,1.02455,1.02472
0.8440,0.8460,0.8450,0.7140,410.06291,5.43764,1.02452,1.02444,1.02461
0.8460,0.8480,0.8470,0.7174,401.24086,6.16992,1.02441,1.02432,1.02449
0.8480,0.8500,0.8490,0.7208,378.96313,5.07024,1.02429,1.02421,1.02438
0.8500,0.8520,0.8510,0.7242,372.18787,5.54278,1.02418,1.02409,1.02426
0.8520,0.8540,0.8530,0.7276,365.81947,5.73991,1.02406,1.02398,1.02414
0.8540,0.8560,0.8550,0.7310,338.70462,5.44493,1.02394,1.02386,1.02403
0.8560,0.8580,0.8570,0.7344,332.29960,4.78480,1.02383,1.02375,1.02391
0.8580,0.8600,0.8590,0.7379,329.41185,4.76065,1.02371,1.02363,1.02379
0.8600,0.8620,0.8610,0.7413,315.29128,4.84528,1.02359,1.02351,1.02367
0.8620,0.8640,0.8630,0.7448,315.03973,5.25050,1.02347,1.02339,1.02355
0.8640,0.8660,0.8650,0.7482,300.62536,5.13391,1.02335,1.02327,1.02343
0.8660,0.8680,0.8670,0.7517,295.88853,4.33473,1.02323,1.02315,1.02331
0.8680,0.8700,0.8690,0.7552,286.37727,4.71602,1.02311,1.02303,1.02319
0.8700,0.8720,0.8710,0.7586,273.24613,4.84049,1.02299,1.02291,1.02307
0.8720,0.8740,0.8730,0.7621,262.97477,4.61824,1.02286,1.02279,1.02294
0.8740,0.8760,0.8750,0.7656,262.87379,4.05910,1.02274,1.02266,1.02282
0.8760,0.8780,0.8770,0.7691,252.67716,3.81778,1.02261,1.02253,1.02269
0.8780,0.8800,0.8790,0.7726,242.88220,4.54679,1.02248,1.02241,1.02256
0.8800,0.8820,0.8810,0.7762,236.67343,3.65542,1.02235,1.02227,1.02243
0.8820,0.8840,0.8830,0.7797,234.51766,4.43607,1.02223,1.02215,1.02230
0.8840,0.8860,0.8850,0.7832,228.63364,3.51008,1.02210,1.02202,1.02217
0.8860,0.8880,0.8870,0.7868,224.88251,3.69221,1.02196,1.02189,1.02204
0.8880,0.8900,0.8890,0.7903,210.19465,3.33349,1.02184,1.02176,1.02191
0.8900,0.8920,0.8910,0.7939,211.49103,4.01305,1.02171,1.02163,1.02178
0.8920,0.8940,0.8930,0.7974,203.65743,4.05319,1.02158,1.02150,1.02166
0.8940,0.8960,0.8950,0.8010,197.63820,3.59671,1.02145,1.02137,1.02153
0.8960,0.8980,0.8970,0.8046,199.53421,3.84660,1.02132,1.02124,1.02140
0.8980,0.9000,0.8990,0.8082,192.68561,3.29938,1.02120,1.02112,1.02128
0.9000,0.9020,0.9010,0.8118,186.71016,3.30402,1.02107,1.02099,1.02115
0.9020,0.9040,0.9030,0.8154,183.34630,3.86473,1.02094,1.02086,1.02102
0.9040,0.9060,0.9050,0.8190,175.52553,3.42085,1.02081,1.02073,1.02089
0.9060,0.9080,0.9070,0.8226,168.74056,3.02536,1.02069,1.02060,1.02077
0.9080,0.9100,0.9090,0.8263,160.01698,3.52612,1.02056,1.02048,1.02064
0.9100,0.9120,0.9110,0.8299,159.97059,3.33427,1.02044,1.02035,1.02052
0.9120,0.9140,0.9130,0.8336,155.64886,3.44126,1.02031,1.02022,1.02039
0.9140,0.9160,0.9150,0.8372,148.08217,3.10591,1.02018,1.02009,1.02026
0.9160,0.9180,0.9170,0.8409,147.35694,2.76511,1.02005,1.01996,1.02013
0.9180,0.9200,0.9190,0.8446,145.09733,3.42667,1.01992,1.01983,1.02000
0.9200,0.9220,0.9210,0.8482,135.64572,2.57948,1.01979,1.01970,1.01988
0.9220,0.9240,0.9230,0.8519,139.37296,3.22257,1.01966,1.01957,1.01975
0.9240,0.9260,0.9250,0.8556,132.80268,3.18767,1.01952,1.01943,1.01961
0.9260,0.9280,0.9270,0.8593,128.58486,3.14486,1.01938,1.01929,1.01947
0.9280,0.9300,0.9290,0.8630,127.81609,2.50977,1.01923,1.01914,1.01932
0.9300,0.9320,0.9310,0.8668,123.24168,3.00352,1.01908,1.01899,1.01918
0.9320,0.9340,0.9330,0.8705,122.26920,3.02470,1.01894,1.01885,1.01904
0.9340,0.9360,0.9350,0.8742,115.36806,2.84473,1.01879,1.01869,1.01889
0.9360,0.9380,0.9370,0.8780,112.60636,2.69351,1.01864,1.01854,1.01873
0.9380,0.9400,0.9390,0.8817,109.42133,2.43689,1.01848,1.01838,1.01858
0.9400,0.9420,0.9410,0.8855,111.14764,2.33278,1.01832,1.01822,1.01842
0.9420,0.9440,0.9430,0.8892,107.67610,2.63038,1.01816,1.01805,1.01826
0.9440,0.9460,0.9450,0.8930,103.33404,2.16834,1.01798,1.01788,1.01809
0.9460,0.9480,0.9470,0.8968,105.92820,2.52356,1.01781,1.01770,1.01792
0.9480,0.9500,0.9490,0.9006,99.29495,2.58985,1.01764,1.01753,1.01775
0.9500,0.9520,0.9510,0.9044,99.88987,2.63741,1.01746,1.01734,1.01757
0.9520,0.9540,0.9530,0.9082,98.93367,2.60154,1.01727,1.01716,1.01739
0.9540,0.9560,0.9550,0.9120,94.62272,2.54042,1.01709,1.01697,1.01720
